id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,loan_status
83678135,89645910,30000,30000,30000, 60 months,24.49%,871.6,E,E3,owner,2 years,RENT,323000,Verified,16-Jun,major_purchase,Major purchase,840xx,UT,3.78,0,Oct-99,3,16,0,14615,36.90%,39,f,0,0,30026.54,30026.54,30000,26.54,0,0,0,16-Jul,30128.58,16-Aug,0,1,INDIVIDUAL,0,904,73697,3,6,2,5,1,59082,100,2,3,1042,67.4,39600,3,5,5,8,5264,19371,8.6,0,0,141,200,2,1,1,11,0,0,2,3,5,9,21,10,17,3,16,0,0,0,4,97.4,0,0,0,126371,73697,21200,86771,Fully Paid
83859517,89827319,15175,15175,15175, 36 months,15.59%,530.45,C,C5,Operations Manager,9 years,MORTGAGE,115000,Not Verified,16-Jun,major_purchase,Major purchase,949xx,CA,10.52,0,5-Feb,1,6,0,1539,10.10%,12,f,0,0,15183.55,15183.55,15175,8.55,0,0,0,16-Jul,15216.41,16-Jul,0,1,INDIVIDUAL,0,0,35098,1,2,0,2,13,33559,75.4,1,1,548,58.8,15200,1,0,1,3,5850,13661,10.1,0,0,96,136,1,1,0,1,1,0,4,4,4,6,6,4,6,4,6,0,0,0,1,83.3,25,0,0,59693,35098,15200,44493,Fully Paid
83981678,89989413,8400,8400,8150, 36 months,10.49%,272.99,B,B3,Operations Cordinator,2 years,MORTGAGE,35000,Source Verified,16-Jun,medical,Medical expenses,853xx,AZ,21.16,4,5-Nov,0,26,0,4295,10.10%,52,f,8215.44,7970.93,260.75,252.99,184.56,61.19,15,0,0,16-Aug,272.99,16-Aug,0,1,INDIVIDUAL,0,0,172033,1,1,0,0,41,17999,59.4,6,10,4012,30.6,42600,0,2,4,11,7168,18703,18.3,0,0,127,127,6,6,2,6,7,2,2,3,12,24,5,24,44,3,26,0,0,2,6,87.8,0,0,0,225074,22294,22900,30282,Late (31-120 days)
83698260,89666071,10000,10000,10000, 36 months,14.49%,344.17,C,C4,Sr commercial underwriter ,3 years,MORTGAGE,40000,Verified,16-Jun,debt_consolidation,Debt consolidation,606xx,IL,14.68,0,Sep-98,3,16,0,14954,45%,35,w,0,0,10024.16,10024.16,10000,24.16,0,0,0,16-Jul,10044.28,16-Aug,0,1,INDIVIDUAL,0,0,177900,1,1,1,2,11,7457,72.7,4,7,4622,51.6,33200,2,0,8,9,11119,8686,62.6,0,0,33,213,5,5,1,5,0,0,6,7,9,18,4,13,29,7,16,0,0,0,5,97.1,55.6,0,0,217149,22616,23200,10260,Fully Paid
82060355,87906078,12600,12600,12600, 36 months,14.49%,433.65,C,C4,Accounting Manager,7 years,RENT,63000,Verified,16-Jun,debt_consolidation,Debt consolidation,926xx,CA,21.22,0,1-Jan,1,11,0,12256,28.10%,28,f,0,0,12772.36,12772.36,12600,172.36,0,0,0,16-Jul,12797.72,16-Aug,0,1,INDIVIDUAL,0,0,36680,3,1,1,4,3,24424,97.7,3,4,10236,53.5,43600,2,0,1,8,3335,28644,30,0,0,107,185,3,3,0,3,0,0,4,4,8,18,6,10,22,4,11,0,0,0,4,100,12.5,0,0,68600,36680,40900,25000,Fully Paid
84133226,90141108,5000,5000,5000, 36 months,17.99%,180.74,D,D2,Manager,8 years,RENT,55000,Source Verified,16-Jun,small_business,Business,276xx,NC,6.15,0,11-Mar,0,6,0,4053,30.50%,8,f,0,0,5005.01,5005.01,5000,5.01,0,0,0,16-Jul,5017.5,16-Jul,0,1,INDIVIDUAL,0,0,5465,2,1,1,2,2,1412,28.2,2,5,1724,29.9,13300,1,0,0,7,911,9247,30.5,0,0,21,63,3,2,0,3,15,0,4,4,5,6,2,5,6,4,6,0,0,0,3,100,0,0,0,18300,5465,13300,5000,Fully Paid
84094293,90092184,6000,6000,6000, 36 months,13.49%,203.59,C,C2,IT Manager,10+ years,MORTGAGE,110000,Source Verified,16-Jun,other,Other,630xx,MO,29.74,0,Oct-95,2,18,0,18699,73.90%,46,w,0,0,6062.81,6062.81,6000,62.81,0,0,0,16-Aug,6074.05,16-Aug,0,1,INDIVIDUAL,0,0,227133,0,12,2,2,10,52022,51.9,0,1,8831,56.3,25300,0,6,5,3,12619,345,97.2,0,0,248,167,16,10,3,16,1,0,2,4,2,10,27,5,16,4,18,0,0,0,2,100,100,0,0,294507,70721,12200,100224,Fully Paid
84002691,90010461,9600,9600,9600, 36 months,13.49%,325.74,C,C2,Cardiovascular technologist ,2 years,RENT,75000,Source Verified,16-Jun,debt_consolidation,Debt consolidation,331xx,FL,34.24,0,3-Feb,0,11,0,1972,18.30%,55,w,0,0,9632.38,9632.38,9600,32.38,0,0,0,16-Jul,9650.37,16-Jul,0,1,INDIVIDUAL,0,0,138433,3,5,4,4,6,136461,81.7,2,3,223,74.3,10800,3,0,6,8,12585,5244,6.4,0,0,160,147,1,1,0,1,7,0,2,4,3,6,42,5,12,4,11,0,0,0,7,92.5,0,0,0,162509,138433,5600,151650,Fully Paid
83973460,89981255,10500,10500,10500, 36 months,11.49%,346.2,B,B5,IT Specialist,1 year,MORTGAGE,130000,Source Verified,16-Jun,debt_consolidation,Debt consolidation,208xx,MD,15,0,Dec-00,0,14,0,5414,11.60%,30,f,0,0,10556.97,10556.97,10500,56.97,0,0,0,16-Jul,10573.73,16-Jul,0,1,INDIVIDUAL,0,0,1066547,3,3,1,3,2,95740,94.5,1,1,3318,30.7,41300,1,2,9,5,76182,19905,21.3,0,0,125,186,4,2,6,4,2,0,4,5,5,9,9,8,15,5,14,0,0,0,3,96.6,0,0,0,1142435,101154,25200,119135,Fully Paid
83961572,89969315,2000,2000,2000, 36 months,23.99%,78.46,E,E2,Account Manager,10+ years,MORTGAGE,55000,Source Verified,16-Jun,debt_consolidation,Debt consolidation,405xx,KY,28.87,0,Aug-97,3,10,0,5471,34.40%,23,f,0,0,2064.7,2064.7,2000,64.7,0,0,0,16-Aug,2071.36,16-Aug,0,1,INDIVIDUAL,0,872,155551,4,3,3,3,6,42856,81.4,3,5,275,70.5,15900,2,0,9,9,15555,4252,11.4,0,0,226,111,1,1,2,1,2,0,2,4,2,2,14,6,7,4,10,0,0,0,7,100,0,0,0,175777,48327,4800,52653,Fully Paid
